,Present_Price,Kms_Driven,Owner,Years_Old,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual,Selling_Price
222,7.6,77632,0,8,1.0,0.0,0.0,1.0,6.0
283,11.8,9010,0,6,0.0,1.0,0.0,1.0,8.99
44,2.69,50000,0,10,0.0,1.0,0.0,1.0,1.25
245,9.4,71000,0,10,1.0,0.0,0.0,1.0,5.2
191,0.57,25000,1,10,0.0,1.0,1.0,1.0,0.2
154,0.88,8000,0,8,0.0,1.0,1.0,1.0,0.5
160,0.95,24000,0,11,0.0,1.0,1.0,1.0,0.45
103,1.6,1200,0,5,0.0,1.0,1.0,1.0,1.45
54,10.21,90000,0,17,0.0,1.0,1.0,1.0,2.75
229,6.79,52132,0,10,1.0,0.0,0.0,1.0,3.1
18,5.09,35500,0,7,0.0,0.0,0.0,1.0,3.25
167,0.81,42000,0,8,0.0,1.0,1.0,1.0,0.42
252,6.82,31427,0,7,0.0,1.0,0.0,0.0,5.4
124,1.75,11500,0,10,0.0,1.0,1.0,1.0,0.95
126,0.95,1300,0,5,0.0,1.0,1.0,1.0,0.9
71,12.48,45000,0,11,1.0,0.0,0.0,1.0,4.5
255,5.35,53675,0,10,0.0,1.0,0.0,1.0,3.0
247,9.4,36000,0,7,0.0,1.0,0.0,1.0,5.95
210,4.6,35775,0,10,0.0,1.0,0.0,1.0,3.1
289,13.6,10980,0,6,0.0,1.0,0.0,1.0,10.11
217,4.43,15000,0,6,0.0,1.0,0.0,1.0,3.15
156,0.52,15000,0,5,0.0,1.0,1.0,1.0,0.48
161,0.826,23000,0,8,0.0,1.0,1.0,1.0,0.45
33,9.95,45000,0,8,1.0,0.0,0.0,1.0,6.0
83,13.46,38000,0,7,1.0,0.0,0.0,1.0,12.5
134,0.81,11800,0,5,0.0,1.0,1.0,1.0,0.65
208,8.1,3435,0,5,0.0,1.0,0.0,1.0,7.9
60,18.61,40001,0,9,0.0,1.0,0.0,1.0,6.95
157,0.84,23000,0,7,0.0,1.0,1.0,1.0,0.48
281,7.6,50456,0,16,0.0,1.0,0.0,1.0,2.1
110,1.78,6000,0,6,0.0,1.0,1.0,1.0,1.2
21,5.71,2400,0,5,0.0,1.0,0.0,1.0,4.9
29,10.38,45000,0,7,1.0,0.0,0.0,1.0,7.45
171,0.55,6700,0,7,0.0,1.0,1.0,1.0,0.4
16,10.79,41678,0,7,1.0,0.0,0.0,1.0,7.25
56,7.27,40534,0,7,0.0,1.0,0.0,1.0,4.5
75,6.8,36000,0,7,0.0,1.0,0.0,1.0,3.95
109,1.47,11000,0,5,0.0,1.0,1.0,1.0,1.2
274,6.8,16500,0,8,0.0,1.0,0.0,1.0,5.3
236,4.43,11849,0,6,0.0,1.0,0.0,1.0,3.1
4,6.87,42450,0,8,1.0,0.0,0.0,1.0,4.6
96,25.39,29000,0,6,1.0,0.0,0.0,0.0,20.75
168,0.73,12000,0,9,0.0,1.0,1.0,1.0,0.42
61,7.7,40588,0,7,0.0,1.0,0.0,1.0,4.5
67,20.45,59000,0,12,1.0,0.0,0.0,1.0,9.25
139,0.95,16600,0,7,0.0,1.0,1.0,1.0,0.6
200,0.75,92233,0,16,0.0,1.0,1.0,1.0,0.1
153,0.99,45000,0,9,0.0,1.0,1.0,1.0,0.5
280,5.9,14465,0,7,0.0,1.0,0.0,1.0,5.25
40,7.87,24524,0,6,0.0,1.0,0.0,0.0,5.85
187,0.51,32000,0,9,0.0,1.0,1.0,1.0,0.25
13,7.71,26000,0,7,0.0,1.0,0.0,1.0,6.1
107,1.5,15000,0,9,0.0,1.0,1.0,1.0,1.25
198,0.57,35000,1,11,0.0,1.0,1.0,1.0,0.15
3,4.15,5200,0,11,0.0,1.0,0.0,1.0,2.85
159,0.51,4000,0,5,0.0,1.0,1.0,0.0,0.45
125,1.75,40000,0,13,0.0,1.0,1.0,1.0,0.9
24,4.41,56879,0,9,0.0,1.0,0.0,1.0,2.9
30,5.98,51439,0,10,1.0,0.0,0.0,1.0,3.1
77,12.35,135154,0,18,0.0,1.0,0.0,0.0,1.5
278,8.4,4000,0,6,0.0,1.0,0.0,1.0,6.0
188,0.57,18000,0,9,0.0,1.0,1.0,1.0,0.25
19,7.98,41442,0,12,0.0,1.0,0.0,1.0,2.65
256,13.6,49562,0,6,0.0,1.0,0.0,1.0,10.25
233,5.7,53000,0,9,1.0,0.0,0.0,1.0,3.9
267,9.4,19434,0,6,1.0,0.0,0.0,1.0,8.35
80,14.89,23000,0,6,1.0,0.0,0.0,1.0,14.73
51,30.61,40000,0,7,1.0,0.0,0.0,0.0,23.0
2,9.85,6900,0,5,0.0,1.0,0.0,1.0,7.25
237,13.6,68000,0,7,1.0,0.0,0.0,1.0,11.25
104,1.47,4100,0,5,0.0,1.0,1.0,1.0,1.35
181,0.48,50000,0,6,0.0,1.0,1.0,1.0,0.3
86,92.6,78000,0,12,1.0,0.0,0.0,1.0,35.0
10,3.6,2135,0,5,0.0,1.0,0.0,1.0,2.85
194,0.787,50000,0,14,0.0,1.0,1.0,1.0,0.2
58,6.8,39485,1,8,0.0,1.0,0.0,1.0,4.1
41,3.98,46706,0,8,0.0,1.0,0.0,1.0,2.55
14,7.21,77427,0,13,0.0,1.0,0.0,1.0,2.25
155,0.51,4300,0,5,0.0,1.0,1.0,0.0,0.48
50,30.61,104707,0,10,1.0,0.0,0.0,0.0,14.9
213,6.79,31604,0,11,0.0,1.0,0.0,1.0,2.9
235,9.4,15141,0,5,0.0,1.0,0.0,1.0,9.1
123,1.47,46500,0,9,0.0,1.0,1.0,1.0,1.0
270,10.0,69341,0,11,0.0,1.0,0.0,1.0,4.1
62,35.96,78000,0,8,1.0,0.0,0.0,0.0,18.75
189,0.57,55000,0,17,0.0,1.0,1.0,1.0,0.2
228,9.4,60000,0,10,1.0,0.0,0.0,1.0,4.95
130,0.87,11000,0,5,0.0,1.0,1.0,1.0,0.75
293,9.9,38000,0,12,0.0,1.0,0.0,1.0,3.25
269,10.0,18828,0,7,0.0,1.0,0.0,1.0,6.7
43,8.06,45780,0,8,1.0,0.0,0.0,1.0,5.5
114,1.47,17000,0,7,0.0,1.0,1.0,1.0,1.15
138,0.87,15000,0,6,0.0,1.0,1.0,1.0,0.6
199,0.58,53000,0,15,0.0,1.0,1.0,1.0,0.12
220,4.43,38488,0,5,0.0,1.0,0.0,1.0,3.5
149,0.94,24000,0,6,0.0,1.0,1.0,1.0,0.51
112,2.4,7000,0,8,0.0,1.0,1.0,1.0,1.15
249,7.6,17000,0,6,0.0,1.0,0.0,1.0,5.25
98,18.61,45000,0,9,0.0,1.0,0.0,1.0,7.05
219,9.4,36000,0,10,0.0,1.0,0.0,1.0,4.5
93,30.61,40000,0,7,1.0,0.0,0.0,0.0,23.0
206,7.13,12479,0,5,0.0,1.0,0.0,1.0,5.75
162,0.99,14500,0,10,0.0,1.0,1.0,1.0,0.45
36,7.2,48767,0,7,0.0,1.0,0.0,1.0,4.65
178,0.52,19000,0,8,0.0,1.0,1.0,0.0,0.35
113,1.4,35000,0,6,0.0,1.0,1.0,1.0,1.15
0,5.59,27000,0,8,0.0,1.0,0.0,1.0,3.35
94,22.78,89000,0,14,0.0,1.0,0.0,0.0,4.0
276,13.6,24800,0,7,0.0,1.0,0.0,1.0,8.65
95,18.61,72000,0,10,0.0,1.0,0.0,1.0,5.85
297,5.9,60000,0,7,0.0,1.0,0.0,1.0,4.0
262,5.8,40023,0,7,0.0,1.0,0.0,1.0,4.0
291,6.1,31427,0,7,0.0,1.0,0.0,1.0,5.4
69,20.91,12000,0,6,0.0,1.0,0.0,1.0,14.25
49,9.29,37000,0,5,0.0,1.0,0.0,0.0,7.75
48,7.71,25870,0,7,0.0,1.0,0.0,1.0,5.8
85,23.73,142000,3,16,0.0,1.0,1.0,0.0,2.5
298,11.0,87934,0,13,0.0,1.0,0.0,1.0,3.35
141,0.8,20000,0,6,0.0,1.0,1.0,1.0,0.6
207,5.7,34797,0,7,0.0,1.0,0.0,0.0,5.15
23,3.46,45280,0,8,0.0,1.0,0.0,1.0,2.5
248,4.6,30000,0,9,0.0,1.0,0.0,1.0,4.0
148,0.94,45000,0,12,0.0,1.0,1.0,1.0,0.52
143,0.84,25000,0,6,0.0,1.0,1.0,1.0,0.6
78,22.83,80000,0,12,0.0,1.0,0.0,0.0,5.25
180,0.51,60000,0,10,0.0,1.0,1.0,1.0,0.3
100,1.9,3000,0,6,0.0,1.0,1.0,1.0,1.75
204,4.43,28282,0,7,0.0,1.0,0.0,1.0,2.75
131,0.82,18000,0,7,0.0,1.0,1.0,1.0,0.75
268,5.8,19000,0,5,0.0,1.0,0.0,1.0,4.8
299,12.5,9000,0,5,1.0,0.0,0.0,1.0,11.5
196,0.52,500000,0,14,0.0,1.0,1.0,0.0,0.17
6,8.12,18796,0,7,0.0,1.0,0.0,1.0,6.75
68,13.74,88000,0,11,0.0,1.0,0.0,1.0,4.35
203,4.6,53460,0,11,0.0,1.0,0.0,1.0,2.95
84,13.46,197176,0,17,1.0,0.0,0.0,1.0,3.49
170,0.83,5500,0,10,0.0,1.0,1.0,1.0,0.4
121,1.5,6900,0,11,0.0,1.0,1.0,1.0,1.05
140,1.2,32000,0,9,0.0,1.0,1.0,1.0,0.6
257,13.6,40324,0,7,0.0,1.0,0.0,1.0,8.5
275,13.6,30753,0,6,0.0,1.0,0.0,0.0,10.9
142,0.84,29000,0,7,0.0,1.0,1.0,1.0,0.6
258,13.6,25000,0,7,0.0,1.0,0.0,1.0,8.4
91,16.09,58242,0,8,1.0,0.0,0.0,1.0,11.25
82,25.39,15000,0,5,1.0,0.0,0.0,0.0,23.0
284,5.9,9800,0,9,0.0,1.0,0.0,1.0,3.5
11,10.38,51000,0,7,1.0,0.0,0.0,1.0,6.85
119,1.9,5400,0,9,0.0,1.0,1.0,1.0,1.05
102,1.78,4000,0,5,0.0,1.0,1.0,1.0,1.65
35,7.74,49998,0,11,0.0,0.0,0.0,1.0,2.95
57,18.54,50000,0,12,0.0,1.0,0.0,1.0,4.75
169,0.54,14000,0,7,0.0,1.0,1.0,1.0,0.4
231,9.4,15001,0,5,0.0,1.0,0.0,1.0,9.25
65,6.95,45000,0,8,1.0,0.0,0.0,1.0,4.75
1,9.54,43000,0,9,1.0,0.0,0.0,1.0,4.75
120,1.26,5700,0,6,0.0,1.0,1.0,1.0,1.05
266,7.0,35000,0,8,0.0,1.0,0.0,1.0,3.65
186,0.52,22000,0,12,0.0,1.0,1.0,0.0,0.25
42,7.15,58000,0,14,0.0,1.0,0.0,1.0,1.95
105,2.37,21700,0,7,0.0,1.0,1.0,1.0,1.35
132,0.95,3500,0,5,0.0,1.0,1.0,1.0,0.75
79,30.61,89000,0,10,1.0,0.0,0.0,0.0,14.5
17,10.79,43000,0,6,1.0,0.0,0.0,1.0,7.75
264,7.0,40026,0,7,0.0,1.0,0.0,1.0,4.0
232,14.79,12900,0,7,0.0,1.0,0.0,0.0,11.45
38,3.76,10079,0,6,0.0,1.0,0.0,1.0,3.0
53,30.61,135000,0,9,1.0,0.0,1.0,0.0,16.0
259,7.0,36054,0,8,0.0,1.0,0.0,1.0,3.9
128,0.87,3000,0,5,0.0,1.0,1.0,1.0,0.8
28,3.95,44542,0,12,0.0,1.0,0.0,1.0,1.95
183,0.47,21000,0,9,0.0,1.0,1.0,1.0,0.27
163,0.95,27000,0,12,0.0,1.0,1.0,1.0,0.45
151,0.55,31000,0,6,0.0,1.0,1.0,1.0,0.5
244,9.4,49000,0,9,1.0,0.0,0.0,1.0,5.95
202,5.7,28200,0,7,0.0,1.0,0.0,1.0,4.4
31,4.89,54200,0,11,0.0,1.0,0.0,1.0,2.35
32,7.49,39000,0,8,1.0,0.0,0.0,1.0,4.95
127,0.8,7000,0,6,0.0,1.0,1.0,1.0,0.75
185,0.58,1900,0,14,0.0,1.0,1.0,0.0,0.25
279,13.6,40126,0,8,0.0,1.0,0.0,1.0,6.25
272,10.0,27600,0,7,0.0,1.0,0.0,1.0,7.5
147,0.84,58000,0,7,0.0,1.0,1.0,1.0,0.55
292,8.4,12000,0,6,0.0,1.0,0.0,1.0,6.4
177,0.57,24000,0,6,0.0,1.0,1.0,0.0,0.35
99,20.45,50024,0,12,1.0,0.0,0.0,1.0,9.65
197,0.51,33000,0,12,0.0,1.0,1.0,1.0,0.16
243,7.6,7000,0,6,0.0,1.0,0.0,1.0,6.25
115,1.47,17500,0,7,0.0,1.0,1.0,1.0,1.11
265,8.7,21200,0,5,0.0,1.0,0.0,1.0,6.5
72,18.61,56001,0,9,0.0,1.0,0.0,1.0,7.45
25,4.99,20000,0,11,0.0,1.0,0.0,1.0,3.0
165,0.54,500,0,6,0.0,1.0,1.0,0.0,0.45
288,13.6,34000,0,7,0.0,1.0,0.0,1.0,8.4
174,0.72,38600,0,7,0.0,1.0,1.0,1.0,0.38
290,6.4,19000,0,8,0.0,1.0,0.0,1.0,4.5
39,7.98,62000,0,19,0.0,1.0,0.0,1.0,2.25
193,0.65,24000,1,9,0.0,1.0,1.0,1.0,0.2
88,6.05,47000,0,9,0.0,1.0,0.0,1.0,3.45
70,6.76,71000,0,8,1.0,0.0,0.0,1.0,3.95
87,13.74,56000,0,10,0.0,1.0,0.0,1.0,5.9
242,7.13,34000,0,8,0.0,1.0,0.0,1.0,4.4
277,13.6,21780,0,7,0.0,1.0,0.0,1.0,9.7
211,14.79,43535,0,7,1.0,0.0,0.0,1.0,11.75
9,8.92,42367,0,7,1.0,0.0,0.0,1.0,7.45
195,0.32,35000,0,7,0.0,1.0,1.0,1.0,0.18
251,9.9,56701,0,9,0.0,1.0,0.0,1.0,5.0
192,0.75,49000,1,15,0.0,1.0,1.0,1.0,0.2
117,1.9,14000,0,7,0.0,1.0,1.0,1.0,1.1
47,4.15,65000,0,16,0.0,1.0,0.0,1.0,1.05
172,0.64,13700,0,8,0.0,1.0,1.0,1.0,0.4
